User_ID,Timestamp,App_Name,Screen_Taps,Notifications_Clicked,Day_of_Week,Hour_of_Day,Total_Sessions_Today,Previous_App_Used,Duration_mins
U116,2025-01-21 10:32:59.969168,Facebook,173,5,Tuesday,10,1,None,7.48
U097,2025-01-12 20:13:59.969180,TikTok,217,4,Sunday,20,2,Spotify,16.45
U188,2025-01-27 22:39:59.969191,Spotify,168,0,Monday,22,2,YouTube,0.65
U097,2025-01-18 07:24:59.969204,Twitter,166,0,Saturday,7,3,TikTok,2.6
U063,2025-01-17 11:40:59.969221,WhatsApp,142,4,Friday,11,1,None,1.65
U127,2025-01-03 18:14:59.969238,Telegram,173,4,Friday,18,1,None,3.71
U150,2025-01-08 15:03:59.969250,Instagram,287,5,Wednesday,15,1,None,3.91
U163,2025-01-23 03:31:59.969262,WhatsApp,140,1,Thursday,3,2,Facebook,5.51
U047,2025-02-15 18:58:59.969273,Twitter,127,4,Saturday,18,1,None,8.94
U161,2025-02-20 09:10:59.969285,YouTube,269,0,Thursday,9,1,None,11.09
U070,2025-01-18 03:57:59.969297,WhatsApp,238,4,Saturday,3,2,Telegram,31.05
U134,2025-01-27 10:55:59.969309,Spotify,80,0,Monday,10,1,None,1.62
U084,2025-01-15 23:35:59.969320,YouTube,77,5,Wednesday,23,2,Twitter,2.24
U005,2025-02-23 19:50:59.969331,TikTok,96,4,Sunday,19,1,None,0.53
U045,2025-02-24 09:43:59.969344,TikTok,299,3,Monday,9,1,None,9.41
U100,2025-01-21 02:28:59.969356,YouTube,104,5,Tuesday,2,1,None,18.45
U120,2025-01-02 10:31:59.969367,Instagram,14,1,Thursday,10,3,Facebook,22.35
U195,2025-01-12 17:34:59.969379,Telegram,275,4,Sunday,17,1,None,30.2
U145,2025-01-16 16:21:59.969390,TikTok,267,4,Thursday,16,1,None,0.06
U125,2025-02-17 16:17:59.969401,Twitter,148,2,Monday,16,2,Facebook,24.28
U179,2025-02-16 04:58:59.969413,Telegram,118,3,Sunday,4,2,Facebook,3.69
U036,2025-02-23 06:26:59.969426,Twitter,115,1,Sunday,6,1,None,27.98
U045,2025-01-14 16:43:59.969437,Instagram,271,3,Tuesday,16,2,TikTok,20.14
U200,2025-01-12 09:08:59.969448,Spotify,236,0,Sunday,9,1,None,43.69
U065,2025-02-24 15:57:59.969460,WhatsApp,35,2,Monday,15,1,None,0.18
U150,2025-03-03 03:50:59.969472,Spotify,247,3,Monday,3,2,Instagram,2.94
U108,2025-02-01 21:12:59.969483,Spotify,243,2,Saturday,21,1,None,1.3
U048,2025-02-23 23:39:59.969494,YouTube,151,2,Sunday,23,2,WhatsApp,6.53
U187,2025-03-05 05:43:59.969505,WhatsApp,42,3,Wednesday,5,1,None,13.45
U186,2025-01-23 18:24:59.969516,WhatsApp,20,0,Thursday,18,1,None,20.49
U016,2025-02-15 10:42:59.969528,Instagram,68,2,Saturday,10,1,None,0.42
U063,2025-01-02 15:42:59.969539,YouTube,97,5,Thursday,15,2,WhatsApp,6.55
U155,2025-01-06 18:20:59.969551,YouTube,71,4,Monday,18,2,WhatsApp,26.65
U137,2025-01-06 04:26:59.969564,WhatsApp,172,2,Monday,4,1,None,11.74
U005,2025-01-26 08:32:59.969575,WhatsApp,101,0,Sunday,8,2,TikTok,1.22
U146,2025-03-10 23:59:59.969586,TikTok,26,2,Monday,23,1,None,1.59
U167,2025-02-25 11:46:59.969597,YouTube,47,0,Tuesday,11,1,None,4.04
U187,2025-02-11 01:20:59.969609,TikTok,253,3,Tuesday,1,2,WhatsApp,1.91
U175,2025-03-02 21:03:59.969620,TikTok,44,1,Sunday,21,1,None,13.39
U029,2025-01-10 18:59:59.969632,Instagram,83,2,Friday,18,1,None,19.9
U093,2025-02-07 14:26:59.969643,Spotify,67,3,Friday,14,1,None,10.81
U163,2025-03-07 17:33:59.969655,WhatsApp,24,5,Friday,17,3,WhatsApp,14.34
U079,2025-02-05 00:02:59.969666,YouTube,39,2,Wednesday,0,1,None,8.34
U161,2025-02-13 14:14:59.969677,Twitter,188,5,Thursday,14,2,YouTube,9.89
U006,2025-03-01 02:20:59.969688,TikTok,15,0,Saturday,2,1,None,9.29
U108,2025-02-12 06:05:59.969700,Instagram,108,0,Wednesday,6,2,Spotify,18.09
U114,2025-03-05 01:47:59.969712,TikTok,57,2,Wednesday,1,1,None,0.78
U064,2025-02-25 16:32:59.969724,Telegram,191,0,Tuesday,16,1,None,4.12
U131,2025-01-14 18:46:59.969735,Telegram,187,2,Tuesday,18,1,None,1.18
U039,2025-01-25 07:43:59.969747,TikTok,15,4,Saturday,7,1,None,2.67
U095,2025-02-07 15:15:59.969760,YouTube,163,5,Friday,15,1,None,29.07
U040,2025-03-02 00:13:59.969780,WhatsApp,199,2,Sunday,0,1,None,17.47
U196,2025-02-11 08:49:59.969799,YouTube,294,4,Tuesday,8,1,None,2.51
U110,2025-01-15 08:48:59.969810,YouTube,148,5,Wednesday,8,1,None,15.13
U182,2025-02-13 00:07:59.969822,Spotify,228,4,Thursday,0,1,None,4.97
U138,2025-01-11 22:58:59.969833,Instagram,71,4,Saturday,22,1,None,8.06
U003,2025-02-11 03:02:59.969845,Instagram,243,1,Tuesday,3,1,None,20.31
U069,2025-02-02 12:06:59.969856,YouTube,171,4,Sunday,12,1,None,31.89
U038,2025-02-28 02:06:59.969867,Spotify,14,0,Friday,2,1,None,0.31
U062,2025-02-06 08:01:59.969879,Facebook,162,5,Thursday,8,2,TikTok,14.07
U064,2025-03-02 12:04:59.969891,YouTube,258,4,Sunday,12,2,Telegram,7.62
U086,2025-02-07 15:53:59.969902,Twitter,186,1,Friday,15,1,None,22.56
U002,2025-01-15 11:38:59.969914,Facebook,189,5,Wednesday,11,2,YouTube,14.69
U022,2025-02-17 21:11:59.969926,TikTok,147,2,Monday,21,1,None,2.57
U151,2025-01-05 13:20:59.969937,Facebook,296,0,Sunday,13,1,None,1.87
U038,2025-01-12 20:39:59.969949,Twitter,92,4,Sunday,20,2,Spotify,6.3
U087,2025-02-20 16:23:59.969960,TikTok,40,1,Thursday,16,1,None,22.48
U076,2025-02-24 00:01:59.969972,TikTok,41,5,Monday,0,2,Spotify,2.26
U097,2025-02-22 08:54:59.969983,Instagram,196,5,Saturday,8,4,Twitter,4.55
U017,2025-02-09 06:12:59.969995,Telegram,36,1,Sunday,6,1,None,33.22
U043,2025-01-19 08:00:59.970006,Telegram,209,5,Sunday,8,1,None,4.55
U117,2025-01-12 18:36:59.970017,TikTok,209,5,Sunday,18,2,Twitter,0.61
U160,2025-02-03 14:36:59.970029,Spotify,202,1,Monday,14,2,Telegram,16.82
U011,2025-02-14 11:31:59.970045,Instagram,117,2,Friday,11,2,Instagram,14.92
U036,2025-02-14 08:07:59.970056,Spotify,84,2,Friday,8,2,Twitter,9.9
U125,2025-03-08 08:50:59.970067,TikTok,138,4,Saturday,8,3,Twitter,0.74
U166,2025-03-01 09:06:59.970079,TikTok,241,5,Saturday,9,1,None,0.26
U102,2025-03-10 17:32:59.970090,WhatsApp,144,1,Monday,17,1,None,0.94
U011,2025-01-17 20:15:59.970102,Spotify,263,3,Friday,20,3,Instagram,10.3
U097,2025-02-18 10:04:59.970113,Telegram,87,5,Tuesday,10,5,Instagram,14.15
U082,2025-02-24 14:22:59.970125,Telegram,46,2,Monday,14,1,None,34.31
U180,2025-02-15 15:49:59.970136,TikTok,273,1,Saturday,15,2,TikTok,22.89
U105,2025-01-04 09:58:59.970148,Facebook,186,4,Saturday,9,1,None,12.13
U041,2025-02-22 17:04:59.970159,TikTok,169,2,Saturday,17,1,None,4.02
U075,2025-01-07 15:12:59.970171,WhatsApp,23,0,Tuesday,15,1,None,10.91
U130,2025-01-12 14:59:59.970183,TikTok,240,3,Sunday,14,1,None,14.02
U134,2025-02-01 15:36:59.970194,TikTok,32,3,Saturday,15,2,Spotify,0.77
U183,2025-03-03 04:06:59.970205,Instagram,272,1,Monday,4,1,None,6.75
U116,2025-02-19 04:22:59.970217,Spotify,13,2,Wednesday,4,2,Facebook,7.95
U053,2025-02-02 10:28:59.970229,Telegram,236,3,Sunday,10,2,TikTok,1.8
U156,2025-01-08 08:50:59.970241,YouTube,88,2,Wednesday,8,1,None,5.81
U173,2025-02-19 22:07:59.970253,WhatsApp,168,2,Wednesday,22,2,Spotify,19.85
U023,2025-01-27 03:39:59.970264,TikTok,216,0,Monday,3,1,None,9.89
U115,2025-03-10 07:34:59.970279,Twitter,118,5,Monday,7,1,None,3.93
U029,2025-01-15 05:16:59.970298,WhatsApp,222,4,Wednesday,5,2,Instagram,0.5
U078,2025-01-28 00:50:59.970316,YouTube,17,0,Tuesday,0,1,None,44.79
U063,2025-01-14 16:49:59.970328,Twitter,268,5,Tuesday,16,3,YouTube,0.84
U064,2025-01-01 02:08:59.970339,Spotify,175,3,Wednesday,2,3,YouTube,13.55
U065,2025-01-29 13:51:59.970351,Telegram,185,4,Wednesday,13,2,WhatsApp,2.08
U001,2025-02-20 23:23:59.970363,Telegram,298,0,Thursday,23,1,None,13.66
U013,2025-01-30 11:00:59.970375,Instagram,72,5,Thursday,11,2,Spotify,17.92
U060,2025-03-06 03:12:59.970387,Spotify,36,5,Thursday,3,2,Telegram,4.44
U064,2025-03-10 17:55:59.970398,YouTube,118,4,Monday,17,4,Spotify,5.71
U121,2025-01-22 04:54:59.970410,TikTok,45,4,Wednesday,4,1,None,1.38
U183,2025-02-14 12:03:59.970421,YouTube,275,5,Friday,12,2,Instagram,0.14
U056,2025-01-03 18:32:59.970433,Instagram,13,3,Friday,18,1,None,8.98
U200,2025-01-30 15:22:59.970444,WhatsApp,83,3,Thursday,15,2,Spotify,20.11
U157,2025-02-13 15:13:59.970455,Facebook,88,5,Thursday,15,1,None,39.44
U107,2025-01-22 11:39:59.970467,Facebook,92,1,Wednesday,11,1,None,6.01
U064,2025-03-01 19:24:59.970479,TikTok,275,2,Saturday,19,5,YouTube,0.8
U065,2025-02-14 10:02:59.970492,Spotify,97,3,Friday,10,3,Telegram,46.6
U049,2025-02-28 17:58:59.970504,Telegram,189,4,Friday,17,1,None,20.32
U155,2025-03-05 07:22:59.970515,Instagram,189,0,Wednesday,7,3,YouTube,14.52
U001,2025-02-19 02:55:59.970527,WhatsApp,29,4,Wednesday,2,2,Telegram,1.16
U136,2025-01-23 13:53:59.970538,Twitter,10,0,Thursday,13,2,Twitter,2.99
U177,2025-02-25 12:59:59.970549,Telegram,209,2,Tuesday,12,1,None,10.66
U137,2025-01-18 04:43:59.970560,Instagram,124,4,Saturday,4,2,WhatsApp,28.29
U191,2025-01-24 05:56:59.970573,YouTube,104,3,Friday,5,1,None,8.88
U059,2025-01-13 12:15:59.970584,Facebook,65,3,Monday,12,1,None,1.29
U184,2025-03-06 05:51:59.970596,Telegram,82,5,Thursday,5,1,None,3.54
U154,2025-02-08 22:06:59.970612,WhatsApp,28,3,Saturday,22,1,None,1.21
U018,2025-01-24 19:18:59.970630,Twitter,252,1,Friday,19,1,None,27.16
U181,2025-02-14 07:40:59.970655,Instagram,155,3,Friday,7,2,Twitter,0.44
U047,2025-02-04 13:27:59.970667,TikTok,239,0,Tuesday,13,2,Twitter,0.33
U198,2025-01-02 03:44:59.970678,Facebook,105,1,Thursday,3,1,None,9.45
U074,2025-03-06 11:59:59.970689,TikTok,40,3,Thursday,11,1,None,23.54
U023,2025-02-28 20:29:59.970701,WhatsApp,53,1,Friday,20,2,TikTok,23.22
U127,2025-01-28 02:25:59.970712,Twitter,295,2,Tuesday,2,2,Telegram,3.05
U077,2025-02-02 00:28:59.970725,YouTube,59,0,Sunday,0,1,None,3.34
U116,2025-01-29 03:12:59.970738,YouTube,183,1,Wednesday,3,3,Spotify,1.11
U102,2025-02-18 11:19:59.970750,Spotify,155,0,Tuesday,11,2,WhatsApp,7.63
U034,2025-02-16 02:46:59.970762,Twitter,127,5,Sunday,2,1,None,1.02
U155,2025-01-20 23:08:59.970775,TikTok,291,3,Monday,23,4,Instagram,7.93
U070,2025-01-26 07:23:59.970786,Instagram,157,0,Sunday,7,3,WhatsApp,8.17
U031,2025-01-08 21:08:59.970798,Facebook,208,4,Wednesday,21,1,None,6.33
U032,2025-01-01 20:16:59.970809,Instagram,248,5,Wednesday,20,1,None,14.93
U162,2025-01-17 18:09:59.970820,YouTube,83,4,Friday,18,2,Twitter,1.5
U086,2025-02-04 09:56:59.970832,Instagram,299,0,Tuesday,9,2,Twitter,26.27
U169,2025-01-22 06:27:59.970862,Telegram,255,3,Wednesday,6,1,None,4.35
U050,2025-01-26 09:25:59.970880,Facebook,130,3,Sunday,9,1,None,9.94
U070,2025-02-08 08:31:59.970892,Spotify,116,3,Saturday,8,4,Instagram,8.59
U019,2025-01-16 16:47:59.970904,Facebook,39,5,Thursday,16,2,Twitter,12.96
U013,2025-03-01 00:41:59.970915,YouTube,268,0,Saturday,0,3,Instagram,10.85
U200,2025-01-03 06:53:59.970927,Instagram,133,3,Friday,6,3,WhatsApp,3.96
U132,2025-02-10 12:57:59.970938,Instagram,157,1,Monday,12,1,None,0.97
U121,2025-01-18 05:54:59.970950,TikTok,267,2,Saturday,5,2,TikTok,11.72
U016,2025-01-23 21:53:59.970961,Spotify,246,3,Thursday,21,2,Instagram,2.14
U125,2025-03-05 05:56:59.970972,Twitter,26,2,Wednesday,5,4,TikTok,29.09
U031,2025-02-08 05:40:59.970984,Telegram,60,3,Saturday,5,2,Facebook,8.21
U160,2025-01-23 07:53:59.970995,Facebook,285,3,Thursday,7,3,Spotify,3.57
U171,2025-02-09 07:47:59.971007,YouTube,115,4,Sunday,7,1,None,0.91
U033,2025-01-23 13:19:59.971019,Twitter,20,3,Thursday,13,1,None,13.72
U043,2025-02-21 22:27:59.971032,Facebook,180,3,Friday,22,2,Telegram,7.52
U095,2025-01-15 04:05:59.971043,YouTube,229,3,Wednesday,4,2,YouTube,8.97
U112,2025-02-23 13:02:59.971055,Facebook,229,0,Sunday,13,2,YouTube,31.7
U101,2025-02-18 22:05:59.971066,Facebook,165,2,Tuesday,22,1,None,5.8
U082,2025-02-20 06:38:59.971077,Facebook,33,2,Thursday,6,2,Telegram,7.26
U017,2025-02-11 00:25:59.971089,Instagram,160,2,Tuesday,0,2,Telegram,5.06
U077,2025-02-05 21:48:59.971101,TikTok,24,0,Wednesday,21,2,YouTube,2.88
U030,2025-02-14 19:22:59.971112,Facebook,210,4,Friday,19,1,None,8.55
U065,2025-03-01 12:57:59.971124,TikTok,165,3,Saturday,12,4,Spotify,7.17
U140,2025-03-05 03:50:59.971135,Twitter,256,5,Wednesday,3,1,None,36.51
U095,2025-02-01 01:15:59.971146,TikTok,41,1,Saturday,1,3,YouTube,6.14
U141,2025-02-08 02:36:59.971157,Instagram,211,4,Saturday,2,1,None,15.47
U015,2025-01-22 18:40:59.971169,Spotify,190,3,Wednesday,18,1,None,16.0
U151,2025-02-09 08:32:59.971180,TikTok,236,0,Sunday,8,2,Facebook,1.06
U084,2025-03-02 11:16:59.971192,Telegram,125,0,Sunday,11,3,YouTube,4.2
U133,2025-01-31 17:50:59.971203,WhatsApp,212,4,Friday,17,1,None,2.03
U114,2025-02-24 14:19:59.971214,Twitter,172,3,Monday,14,2,TikTok,4.95
U171,2025-02-07 06:43:59.971226,TikTok,300,2,Friday,6,2,YouTube,3.44
U086,2025-01-13 17:32:59.971237,WhatsApp,87,1,Monday,17,3,Instagram,8.65
U175,2025-01-25 14:37:59.971248,Instagram,75,1,Saturday,14,2,TikTok,9.71
U172,2025-01-06 04:32:59.971261,TikTok,207,3,Monday,4,1,None,4.16
U012,2025-02-12 15:28:59.971273,Instagram,78,2,Wednesday,15,2,Instagram,7.19
U028,2025-02-05 09:39:59.971285,WhatsApp,34,3,Wednesday,9,1,None,0.38
U167,2025-01-22 06:58:59.971296,Facebook,44,5,Wednesday,6,2,YouTube,2.83
U187,2025-02-21 21:20:59.971307,Twitter,83,0,Friday,21,3,TikTok,3.06
U009,2025-01-26 00:35:59.971319,Instagram,165,4,Sunday,0,1,None,6.28
U024,2025-02-02 07:06:59.971335,WhatsApp,248,2,Sunday,7,1,None,2.33
U103,2025-01-18 02:11:59.971352,Spotify,165,4,Saturday,2,1,None,7.0
U198,2025-03-09 09:32:59.971364,YouTube,78,2,Sunday,9,2,Facebook,5.71
U158,2025-01-06 19:39:59.971380,YouTube,253,1,Monday,19,1,None,5.36
U034,2025-01-31 03:13:59.971397,Twitter,292,0,Friday,3,2,Twitter,0.95
U034,2025-03-10 06:21:59.971409,YouTube,129,3,Monday,6,3,Twitter,21.41
U136,2025-02-19 16:47:59.971421,Spotify,295,2,Wednesday,16,3,Twitter,13.04
U101,2025-03-06 08:09:59.971433,WhatsApp,280,1,Thursday,8,2,Facebook,5.91
U190,2025-02-28 23:29:59.971444,TikTok,133,0,Friday,23,2,YouTube,4.49
U096,2025-02-24 10:56:59.971456,Instagram,116,4,Monday,10,1,None,3.14
U079,2025-01-10 06:03:59.971467,Facebook,118,2,Friday,6,2,YouTube,4.85
U075,2025-02-08 19:56:59.971479,Spotify,27,2,Saturday,19,2,WhatsApp,26.42
U124,2025-03-04 18:26:59.971490,Telegram,75,4,Tuesday,18,1,None,11.1
U039,2025-01-02 22:50:59.971502,WhatsApp,51,0,Thursday,22,2,TikTok,6.0
U061,2025-01-28 12:02:59.971513,Spotify,171,4,Tuesday,12,1,None,6.83
U196,2025-02-28 05:34:59.971524,WhatsApp,180,0,Friday,5,2,YouTube,14.79
U108,2025-02-04 19:25:59.971536,YouTube,24,3,Tuesday,19,3,Instagram,10.07
U034,2025-01-08 01:31:59.971548,WhatsApp,147,2,Wednesday,1,4,YouTube,3.63
U018,2025-01-20 15:36:59.971561,Twitter,158,1,Monday,15,2,Twitter,34.26
U095,2025-02-22 15:27:59.971572,Spotify,296,0,Saturday,15,4,TikTok,9.49
U190,2025-03-07 22:32:59.971583,Instagram,291,3,Friday,22,3,TikTok,11.82
U188,2025-02-22 18:03:59.971595,Telegram,261,1,Saturday,18,3,Spotify,5.63
U044,2025-01-29 09:21:59.971607,YouTube,105,0,Wednesday,9,1,None,8.56
U020,2025-01-29 16:52:59.971618,Instagram,241,5,Wednesday,16,1,None,6.39
U088,2025-01-14 11:04:59.971629,WhatsApp,287,5,Tuesday,11,1,None,9.91
U006,2025-01-19 13:46:59.971645,Telegram,71,2,Sunday,13,2,TikTok,29.48
U024,2025-01-02 22:38:59.971663,Facebook,119,0,Thursday,22,2,WhatsApp,8.0
U157,2025-01-30 01:37:59.971674,Spotify,161,3,Thursday,1,2,Facebook,2.15
U159,2025-02-27 01:23:59.971687,TikTok,238,0,Thursday,1,1,None,3.92
U041,2025-01-17 00:02:59.971709,Instagram,283,1,Friday,0,2,TikTok,7.33
U022,2025-02-27 21:36:59.971721,Facebook,162,2,Thursday,21,2,TikTok,28.65
U098,2025-01-26 10:55:59.971733,Facebook,95,5,Sunday,10,1,None,2.93
U014,2025-01-29 07:23:59.971745,Facebook,43,3,Wednesday,7,1,None,42.03
U100,2025-01-24 22:47:59.971757,Instagram,40,2,Friday,22,2,YouTube,7.7
U025,2025-01-28 04:18:59.971769,YouTube,130,4,Tuesday,4,1,None,9.06
U029,2025-01-20 16:50:59.971780,Spotify,253,2,Monday,16,3,WhatsApp,6.4
U180,2025-01-25 20:47:59.971791,WhatsApp,219,5,Saturday,20,3,TikTok,5.1
U178,2025-01-09 00:34:59.971803,Spotify,124,3,Thursday,0,1,None,8.97
U196,2025-01-11 07:04:59.971816,Twitter,138,3,Saturday,7,3,WhatsApp,8.72
U116,2025-01-23 22:54:59.971828,TikTok,298,4,Thursday,22,4,YouTube,22.53
U026,2025-02-14 22:36:59.971839,WhatsApp,45,4,Friday,22,1,None,7.56
U147,2025-02-04 02:29:59.971850,Facebook,222,1,Tuesday,2,1,None,10.47
U023,2025-01-30 20:41:59.971862,Telegram,128,2,Thursday,20,3,WhatsApp,16.92
U195,2025-01-25 15:34:59.971874,Facebook,235,0,Saturday,15,2,Telegram,0.19
U023,2025-01-17 06:52:59.971885,Instagram,145,1,Friday,6,4,Telegram,2.37
U157,2025-02-04 13:28:59.971896,Twitter,129,4,Tuesday,13,3,Spotify,18.75
U089,2025-02-16 17:01:59.971907,Telegram,70,2,Sunday,17,2,Facebook,4.7
U062,2025-01-11 08:58:59.971927,WhatsApp,116,1,Saturday,8,3,Facebook,5.51
U113,2025-03-09 05:49:59.971947,Twitter,228,0,Sunday,5,1,None,9.09
U042,2025-02-01 21:41:59.971960,Spotify,142,1,Saturday,21,1,None,0.15
U074,2025-01-06 14:27:59.971971,TikTok,168,2,Monday,14,2,TikTok,3.8
U116,2025-02-15 17:09:59.971983,Instagram,90,4,Saturday,17,5,TikTok,10.41
U002,2025-03-01 17:49:59.971995,Facebook,63,0,Saturday,17,3,Facebook,2.46
U175,2025-02-01 15:31:59.972006,WhatsApp,215,3,Saturday,15,3,Instagram,14.71
U109,2025-01-01 18:21:59.972017,Spotify,50,2,Wednesday,18,1,None,15.42
U061,2025-01-08 00:36:59.972028,Instagram,137,1,Wednesday,0,2,Spotify,30.14
U192,2025-01-26 09:45:59.972039,Telegram,222,0,Sunday,9,2,TikTok,7.06
U046,2025-03-04 02:48:59.972072,Telegram,173,2,Tuesday,2,1,None,7.28
U153,2025-02-06 09:11:59.972090,WhatsApp,82,1,Thursday,9,1,None,8.17
U108,2025-03-07 09:27:59.972109,TikTok,108,2,Friday,9,4,YouTube,31.35
U131,2025-01-13 04:01:59.972124,Instagram,158,2,Monday,4,2,Telegram,10.5
U057,2025-02-23 00:30:59.972136,Spotify,157,2,Sunday,0,1,None,14.22
U159,2025-01-02 06:58:59.972148,Twitter,95,2,Thursday,6,2,TikTok,0.99
U166,2025-03-10 03:19:59.972159,Spotify,224,2,Monday,3,2,TikTok,5.34
U062,2025-02-28 02:25:59.972171,WhatsApp,173,3,Friday,2,4,WhatsApp,1.41
U155,2025-03-04 20:02:59.972182,TikTok,238,0,Tuesday,20,5,TikTok,8.43
U043,2025-01-08 01:32:59.972193,Spotify,61,4,Wednesday,1,3,Facebook,24.66
U056,2025-01-24 19:33:59.972205,Twitter,156,2,Friday,19,2,Instagram,2.66
U097,2025-01-06 22:45:59.972216,Spotify,263,1,Monday,22,6,Telegram,2.28
U150,2025-02-26 02:17:59.972228,TikTok,256,0,Wednesday,2,3,Spotify,5.86
U182,2025-01-19 02:59:59.972239,TikTok,295,1,Sunday,2,2,Spotify,18.62
U140,2025-01-14 17:34:59.972250,TikTok,244,1,Tuesday,17,2,Twitter,3.49
U120,2025-02-14 07:29:59.972262,Twitter,245,1,Friday,7,4,Instagram,10.77
U097,2025-02-28 09:12:59.972273,Instagram,293,2,Friday,9,7,Spotify,14.55
U181,2025-02-17 22:26:59.972284,TikTok,273,3,Monday,22,3,Instagram,1.9
U063,2025-02-21 15:37:59.972296,Facebook,84,3,Friday,15,4,Twitter,3.81
U185,2025-01-19 06:03:59.972307,TikTok,233,4,Sunday,6,1,None,2.86
U170,2025-03-05 17:00:59.972319,Instagram,128,4,Wednesday,17,1,None,6.4
U054,2025-01-27 04:45:59.972330,Instagram,228,4,Monday,4,1,None,24.46
U079,2025-02-02 06:49:59.972341,Facebook,90,3,Sunday,6,3,Facebook,2.53
U126,2025-01-14 05:11:59.972353,Spotify,38,2,Tuesday,5,1,None,0.46
U136,2025-03-02 09:50:59.972367,WhatsApp,237,5,Sunday,9,4,Spotify,13.3
U021,2025-01-09 17:53:59.972379,WhatsApp,17,1,Thursday,17,1,None,7.8
U143,2025-01-05 05:33:59.972390,YouTube,163,1,Sunday,5,2,YouTube,0.66
U200,2025-02-08 15:22:59.972401,Instagram,173,2,Saturday,15,4,Instagram,3.05
U137,2025-01-10 21:15:59.972413,WhatsApp,225,0,Friday,21,3,Instagram,4.6
U090,2025-02-03 19:13:59.972425,Twitter,158,2,Monday,19,1,None,29.86
